title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories
Southwest Breakfast Casserole,"A great way to feed a hungry crowd for breakfast, this can be made ahead and put in the oven right before your guests arrive.  Also great for potlucks!",https://www.food.com/recipe/southwest-breakfast-casserole-142184,10m,45m,55m,8 serving(s),"6   slices    white bread, crust removed | 1   lb    pork sausage | 4   cups    colby or 4   cups    monterey jack cheese | 6       eggs | 2 (4   ounce) cans   diced green chilies | 1   teaspoon    salt | 1   teaspoon    dry mustard | 2   cups    half-and-half | butter or   margarine, softened","Lightly butter both side of bread slices and place in 9x13-inch baking dish. | In nonstick skillet, over medium-high heat, brown beef sausage; drain well and pat with paper towels. Sprinkle sausage over bread slices. | Sprinkle cheese over sausage. Follow with a layer of chopped green chilies. | In medium bowl, beat eggs lightly. Add salt, dry mustard and half-and-half. Mix thoroughly. Pour over casserole. | Cover with foil and refrigerate overnight. | To bake, preheat oven to 350&deg;F and bake casserole 45 minutes, or until bubbly and lightly browned. Allow to stand 15 minutes to set. Cut into squares and serve with picante sauce on the side.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/14/21/84/GSOGQm2xTwGynAEgcZe1_southwest%20bfast%20casserole%20SITE-3.jpg",Breakfast,All,"Cheese,Meat,Mexican,Potluck,Brunch,< 60 Mins,Oven,Beginner Cook,Easy,Inexpensive",584.5
"Real, &quot;down Home&quot; Southern Country Biscuits and Gravy:","Real, &quot;down home&quot; biscuits and gravy was originally &quot;poor folks' breakfast,&quot; but it was so good and became so popular that no self-respecting Southern home today is complete without a good biscuit and gravy recipe. 


The gravy is still referred to by many as &quot;sawmill gravy,&quot; because gravy and biscuits was a quick, cheap, and filling breakfast that was served in the logging and sawmill camps throughout the South.


Real &quot;down home&quot; Southern biscuits and gravy became so popular and such a staple in Southern breakfast diets because it is nutritious, simple, easy, and inexpensive to make. The ingredients are simple and can be found in any kitchen.


Sausage gravy, egg gravy, and all the variations begin with the basic &quot;Sawmill&quot; or &quot;Milk&quot; gravy recipe. 


The recipe given here is the basic sawmill gravy recipe that is still used by most Southerners. It is the recipe that my family has used for several generations.

As for the biscuits, there are lots of complicated recipes for biscuits &quot;out there&quot;, but the real, honest-to-goodness biscuits that are served up in most Southern homes are simple and easy to make. The baking time is the most time consuming part of making good biscuits. 


The biscuit recipe I give here has also been used by my family for several generations. 

When made as directed, the results will be light, fluffy, melt-in-your-mouth biscuits that are delicious with the basic gravy recipe that I also give here, as well as with one's favorite jam, jelly, marmalade, molasses, or honey--or just split open with a little butter melted inside.


To make sausage gravy or other variations, cook up the sausage first and use the fat from it to make the rue for the gravy. Break up the sausage into small pieces and set within easy reach before starting the gravy When the gravy has thickened, stir in the sausage or other ingredients that you may have in mind. Adding other ingredients is the last step in making variations of the basic &quot;sawmill&quot; or milk gravy recipe.


In the biscuit recipe, Martha White self-rising flour is preferred. It is finer ground flour than almost any other flour on the market, has superb leavening, and yields lighter biscuits. 


If plain flour is used, add 1-1/4 tsp of double-acting baking powder and 1/4 tsp of salt per cup of flour. These pertain to all-purpose flour only and should be omitted when using self-rising flour. Also, the rule of thumb for eggs is to use 1 egg for every 2 cups of flour. 


When making biscuits and gravy, one thing should be remembered: Make the biscuits first, and make the gravy while the biscuits are baking.

Preheat oven to 350 degrees F. Baking time for biscuits is 20-30 minutes, depending on your oven. Some ovens run a little hot or cool, so baking time may vary slightly.",https://www.food.com/recipe/real-down-home-southern-country-biscuits-and-gravy-386570,40m,30m,1h 10m,"8 biscuits, 4 serving(s)",2   cups    self-rising flour | 1   large    egg | 1/4  cup    oil | 1   cup    buttermilk | 3   tablespoons    flour | 3   tablespoons    oil | 12   ounces    evaporated milk | 12   ounces    water | 1/4  teaspoon    salt | 1/4  teaspoon    black pepper,"FOR THE BISCUITS:. | Wash Hands. | Sift flour into a medium or large mixing bowl. Shake the bowl side-to-side lightly to even out the flour. | Beat the eggs slightly to blend yolks and whites. | Combine oil and egg with half the buttermilk and pour into the flour. Mix thoroughly with a large spoon or fork, or use your hand to squeeze the dough through your fingers, until the dough is well blended. | Add the remaining buttermilk, a little at a time, blending into the dough after each addition, until the right consistency is achieved. | The dough should be just firm enough to form into balls but light enough to slump slightly when placed onto the baking sheet. Experience will enable you to tell from the feel of the dough. If dough is too light, add flour, 1 tablespoon at a time, mixing thoroughly each time, until the dough is the right consistency. If dough is too dense (stiff), add buttermilk, 1 tablespoon at a time, blending well into the dough after each addition, until the dough is the right consistency. | Clean the dough off your hands, then rinse and dry them. Flour the palms and fingers of both hands to prevent the dough from sticking to them. | Pinch off a handful of dough roughly 2/3 the size you want your biscuits to be and roll it between your hands in a circular motion, using just enough pressure to form a ball. Shaping the dough will flour the outside of the biscuit. | Place the ball of dough onto an ungreased baking sheet and press down with fingers just enough to flatten the dough slightly and form the biscuit shape. Repeat, flouring hands after each dough ball is formed and placing biscuits about 1/2-inch to 3/4-inch apart, until all the dough is used up. | Cathead Biscuits. | For cathead biscuits, use about half again as much dough for each biscuit as you would use for regular size biscuits, leaving them thicker than for regular biscuits. Place cat-head biscuits about 3/4-inch apart on the baking sheet. | Place the pan of biscuits as close to the vertical center of the preheated 350-degree oven as your rack guides will allow and bake for 20-30 minutes. Check biscuits after 20 minutes and periodically thereafter until done. Biscuits will be done when the tops are golden brown. Cathead biscuits will take longer to bake. The lower edges of the biscuits may be slightly lighter than the center. | Remove biscuits from oven when done. Serve hot. | Makes 8 to 10 biscuits, or 4 to 5 cathead biscuits. | FOR THE GRAVY. | Mix evaporated milk and water and set aside within reach. | In a large, cast iron skillet, combine oil (or meat fat), flour, salt, and pepper. | Over medium-high heat, stir in flour until blended with oil. With a fork, tines flat against the skillet's bottom, stir the mixture constantly, using a back-and-forth motion, until it begins to brown very slightly. Do not allow the flour to scorch or burn. | When flour has browned slightly, pour in milk, all at once, stirring constantly. | Continue to stir, scraping the bottom of the skillet as you stir, in the manner previously described, to keep flour and milk from scorching and to keep lumps from forming. Bring to a boil, stirring constantly. | As soon as the mixture boils, marked by a sudden foaming up of the mixture, reduce heat to medium so that mixture simmers but does not boil over. Briefly lift pan from heat if necessary to keep contents from boiling over. Don't forget to use a pot holder to avoid being burned. | Continue to stir vigorously, as described above, until gravy achieves desired thickness, usually within a minute or two after boiling. When the gravy is the desired thickness, immediately remove from heat. Serve from the skillet or pour into a serving bowl. | Add additional salt and pepper if needed. | Serves 4.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/38/65/70/USRIKmeSdyZQigo1FpL5_biscuits%20and%20gravy%20SITE-2.jpg",Breads,All,"Breakfast,Weeknight,< 4 Hours,Easy",609.9
Dutch Baby,"I've had these a lot at B&B's, probably because they're delicious and dependable if the right technique is used. This dish is puffy around the outside and flat in the center offering the perfect nest for sliced fresh fruit. It's airy, light and makes a beautiful presentation. The batter can be made up to a day ahead and refrigerated.",https://www.food.com/recipe/dutch-baby-74146,15m,30m,45m,2-3 serving(s),"3/4  cup    milk | 1/2  cup    unbleached all-purpose flour | 2   large    eggs | 1 1/2  tablespoons    sugar | 1/2  teaspoon    pure vanilla extract | 3   tablespoons    unsalted butter | 1   tablespoon    confectioners' sugar | 1 1/2  cups   thinly sliced fresh fruit, of choice  (peaches, nectarines, strawberries, raspberries, blackberries, blueberries,mangoes, etc.)","Fifteen minutes before baking preheat the oven to 450&#xB0;; have a pie plate or oven-proof skillet ready. | Whisk together the milk, flour, eggs, sugar and vanilla; put the butter in the pie plate or skillet and place the pan in the oven just until the butter is melted; with a brush coat the rim and entire inside of the pan. | Slowly pour batter into hot pan; bake for 20 minutes; reduce heat to 350&#xB0; and bake another 8-10 minutes, until pancake is well-browned; remove from oven and sieve confectioners' sugar over the top; serve immediately with fruit spooned into the center of the pancake.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/74/14/6/FGe5KRTRQoeXrA54SKUN_DB%205%20-%20final_3.jpg",Breakfast,All,"Dessert,Lunch/Snacks,Raspberries,Strawberry,Plums,Berries,Fruit,Christmas,Sweet,Brunch,< 60 Mins,Oven,Beginner Cook,Easy,Inexpensive",451.7
Tasty Oatmeal the Microwave Way!,"This is NOT boring oatmeal! I've hooked many a &quot;I don't care for oatmeal&quot; folks w/ this one! Other than the basics (water, oats, &amp; salt), the ingredients are optional and may be varied to suit individual tastes.",https://www.food.com/recipe/tasty-oatmeal-the-microwave-way-184141,2m,5m,7m,1 serving(s),1   cup    water | 1/2  cup    rolled oats | 1   dash    salt | 2   tablespoons    brown sugar | cinnamon (I must use a teaspoon) | 2   tablespoons   chopped walnuts | 1/4  cup    dried cherries (see Notes below),"Combine ingredients in microwave safe dish/pot. Nuke 2 mins 20 sec. Stir. If still &quot;water-y,&quot; nuke 10-15 seconds. | ***Note #1: I often use whatever fresh fruit I have on hand --  chopped apples, cut up bananas, fresh peaches, etc. | ***Note #2:  I also like to use dried fruit such as raisins, cherries, blueberries, etc. When using dried fruit, I like to nuke the fruit in enough water to cover for appx 2 mins, depending on the size of the fruit and it's estimated moisture content. | ***Note #3:  After nuking dried fruit, do not drain if there is any water left. Add the other ingredients to the pot and go from there. | ***Note #4: Other than the water and oats, I don't actually measure the other stuff, just adding a handful of this and some of that.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/18/41/41/AIMpyGjbRzCAsRDgNGC0_microwave-oatmeal-cherries-3868.jpg",Breakfast,All,"Microwave,< 15 Mins,Easy",352.6
Quiche Lorraine Cups,Simple yet elegant - this is a make over of the old standard gourmet recipe. Serve with fresh fruit salad.,https://www.food.com/recipe/quiche-lorraine-cups-19170,15m,25m,40m,"12 Quiche Lorraines, 6 serving(s)","12      cooked crepes (, see <a href=""https://www.food.com/recipe/all-purpose-dinner-crepes-batter-19104"">All Purpose Dinner Crepes Batter</a>) | 4   slices    bacon, cooked crisp &amp,crumbled | 1   cup    swiss cheese, grated | 2   tablespoons    flour | 1/4  teaspoon    salt | 2       eggs | 1   cup    milk","Lightly grease a 12 muffin pan or 12 custard cups. | Line each with a crepe, fluting them. | Sprinkle bacon into the crepes. | Divide the cheese between the crepes. | Mix together the flour, salt. | Mix the beaten eggs and milk, add to the flour. | Blend well and pour into the crepes on top of the cheese. | Bake in 350F oven for 15-20 minutes or until firm. | Cool 5 minutes before removing from pan.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/19/17/0/U4luIVT7QGyCun9REDLV_DSC04899-2.jpg",Savory Pies,All,"Breakfast,Lunch/Snacks,Pork,Cheese,Meat,Canadian,< 60 Mins,Oven,Easy",152.2
Old Fashioned English Breakfast Sausage (Or Sausage Patties),This recipe was copied from a little sausage booklet and has been well enjoyed over the years. Make these for those special holiday weekend breakfasts. The aroma alone has everyone up waiting for breakfast to be served. You can double or triple the recipe as these freeze well.,https://www.food.com/recipe/old-fashioned-english-breakfast-sausage-or-sausage-patties-104052,15m,20m,35m,10-12 serving(s),2   lbs    pork (a good mix of fat and lean using a fine grind works best) | 1   cup    fine dry breadcrumb | 2 -3   teaspoons    salt | 1/2  teaspoon    white pepper | 1/4  teaspoon    ground ginger | 3/4  teaspoon    ground sage | 1/4  teaspoon    thyme leaves | 1/8  teaspoon    ground allspice | 1/2  cup    ice water,"Place all ingredients in a large bowl,mixing well to assure spices are evenly distributed. | Form into patties, refrigerate several hours to allow spices to blend. | Fry over medium heat until well browned and cooked through, with no pink showing. | NOTE this mixture may be stuffed into small casings, making 3-4 inch links, your guests will be so impressed!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/40/52/XZ0f1Ig0RDq7nEDlHKXG_english-breakfast-sausage_0512.jpg",Breakfast,All,"High Protein,High In...,Brunch,< 60 Mins",225.7
"Bacon, Egg and Cheese Biscuit","Say goodbye to those expensive but small frozen breakfast sandwiches.  These are over the top.  Make them up ahead of time and put them in the freezer.  When ready to enjoy, defrost, wrap in paper towel and zap for a minute or two in the microwave.  This recipe is for 6 but can easily be doubled to 12.  The biscuits can be baked along with the eggs.  Enjoy!",https://www.food.com/recipe/bacon-egg-and-cheese-biscuit-237394,15m,12m,27m,6 serving(s),"6       biscuits, baked and cooled  (I used <a href=""https://www.food.com/recipe/sourdough-whole-wheat-biscuits-97361"">Sourdough Whole Wheat Biscuits</a>.) | 6   slices    Canadian bacon | 5       eggs | 1/4  cup    milk | salt | pepper | 1/4  cup    cheddar cheese, grated","Preheat oven to 425 degrees. | Spray a 6 cup muffin tin with non-stick cooking spray and set aside. | In a small bowl, beat together the eggs and milk; salt and pepper to taste. | Divide the egg mixture evenly between the prepared muffin tins and place in preheated oven. | Bake for 8 to 10 minutes or until eggs are set; immediately sprinkle with grated cheese. | Remove from muffin tin and allow eggs to cool completely. | Split the biscuits and top each with a slice of the Canadian bacon. | When the eggs are cooled, place one on top of each slice of bacon. | Wrap in foil and freeze until ready to enjoy. | When ready to reheat, place in the refrigerator the night before, in the morning, wrap in a paper towel and reheat in the microwave at 70 percent power for 1 minute or until heated, turning after 30 seconds. | Please note that the microwave times are only estimates.  Each microwave is different.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/23/73/94/02K3XFTRfqoji6twlwza_0S9A9432.jpg",Breakfast,All,"Cheese,< 30 Mins,Oven,Easy",341.6
Savory Breakfast Tart,Make and share this Savory Breakfast Tart recipe from Food.com.,https://www.food.com/recipe/savory-breakfast-tart-536346,30m,40m,1h 10m,"1 9"" tart pan, 6 serving(s)",1 1/2  cups    all-purpose flour | 1/2  teaspoon    salt | 8   tablespoons    butter | 4   tablespoons    ice water | 1/4  lb    gruyere cheese | 1   tablespoon    olive oil | 1   large    yellow onion | 1/4  cup    bacon bits | 2       egg yolks | 1       egg | 1   cup    heavy cream | 1   teaspoon    salt | 1/2  teaspoon    black pepper | 1/4  teaspoon    nutmeg | 1   tablespoon    olive oil | 1   large    red onion | 1       garlic clove | 1/2  cup    Granny Smith apples | 28   ounces    crushed tomatoes | 1/4  cup    balsamic vinegar | 1   teaspoon    salt | 1/2  teaspoon    black pepper,"Crust:. | Preheat oven to 400 degrees fahrenheit. | Chopped chilled butter into 1/4 inch pieces and mix in flour and salt.  Add water until dough holds together loosely. | Shape into a 5&quot;x5&quot; disc and wrap in cling wrap; chill in refrigerator for 15 minutes. | Press dough into tart pan using &quot;lift and pinch&quot; method. Poke 3-4 times with fork.  Line with parchment paper or tin foil, and fill with baking beads or rice. | Bake for 15 minutes, remove parchment and baking beads, then bake for an additional 5 minutes. | Set aside to cool. | Filling:. | Dice yellow onion and saute in olive oil until carmelized.   Remove from heat. | Line bottom of tart crust with grated Gruyere cheese. | Layer bacon bits on top. | Once cooled, gently lay sauteed onions on top of bacon layer. | Whisk together egg yolks, egg, salt, pepper, and heavy cream. | Pour egg mixture into tart crust until filling approaches top edge of tart crust. | Sprinkle grated parmesan on top. | Cook tart in oven for 20-25 minutes. | Allow to cool before serving. | Tomato Balsamic Jam:. | Dice onions and garlic. Use box grater to coarsley grate apple. | Saute onions and garlic in large sauce pan until onions are translucent (about 5 minutes). | Add in apple, vinegar, salt, pepper, and tomatoes. | Keep on low simmer stirring occasionally, for about 45 minutes until jam has paste consistency. | Remove from heat.  Once jam has cooled, spread a thin layer in a ring on top of tart.  Garnish with arugala (optional).","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/53/63/46/wvvIUhCSQVSbRJwiL1uQ_0S9A9346.jpg",Breakfast,All,"Brunch,< 4 Hours",629.5
Veggie Breakfast Casserole,Make and share this Veggie Breakfast Casserole recipe from Food.com.,https://www.food.com/recipe/veggie-breakfast-casserole-20002,10m,35m,45m,8 serving(s),"3   cups   cubed and cooked potatoes | 2   tablespoons    soy sauce | 1 1/2  lbs    firm tofu, mashed | 1   medium    onion, chopped | 2       garlic cloves, crushed | 2   tablespoons    olive oil | 2   tablespoons    parsley | 2   teaspoons    basil | 1/2  teaspoon    black pepper | paprika","Mix together the potatoes, tofu, and soy sauce. | Saute the onion and garlic in the oil until translucent. | Preheat the oven to 325 degrees F. | Mix the onion and garlic into the potato mixture, and add the parsley, basil, and black pepper. | Spread into an oiled 8 x 8 x 2-inch baking dish. | Sprinkle with paprika and bake for 35 minutes.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/20/00/2/EMTZKGukQ9SXPVf0oodQ_untitled-8531.jpg",Breakfast,All,"Potato,Soy/Tofu,Beans,Vegetable,Vegan,Low Cholesterol,Kosher,Potluck,< 60 Mins,Oven,Easy",142.8
Grandma B's Super Waffles,This was my grandma's favorite waffle recipe. It has become a family favorite enjoyed on special occasions not only by her grandchildren but great-great grandchildren as well. The clipping is yellow with age clipped I suspect from the local daily paper many many years ago.,https://www.food.com/recipe/grandma-bs-super-waffles-89575,15m,5m,20m,6-8 serving(s),"2   cups   sifted all-purpose flour | 3   teaspoons    baking powder | 1   teaspoon    baking soda | 1   teaspoon    salt | 2   cups    sour milk (note below) or 2   cups    buttermilk (note below) | 4       eggs, well beaten | 3/4  cup   melted margarine (I use margarine or butter) or 3/4  cup    salad oil (I use margarine or butter)","note: if you do not have sour milk or buttermilk measure 2 tablespoons vinegar into your 2-cup measuring cup and fill to the two-cup mark with sweet milk and let it stand while you prepare other ingredients. | Sift together: 2 cups all-purpose flour 3 teaspoons baking powder 1 teaspoon baking soda 1 teaspoon salt. | Combine: 2 cups sour milk or butter milk 4 eggs well beaten Add the milk and eggs to dry ingredients,beat until smooth with a hand mixer or electric mixer on high speed. | Stir in 3/4 cup melted margarine or salad oil. | Bake in preheated waffle iron until crisp and golden. For large maker 2 cups for small maker 1 cup batter. | Serve with your favorite toppings.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/89/57/5/3L7sziKSZGMeZPftbS2L_0S9A9055.jpg",Breakfast,All,"Brunch,< 30 Mins",452.9
